experiment,route,threshold,gain_lr,kernel_lr,height,width,epochs,subset,best_accuracy,notes
nf_baseline,all,0.50,0.003,,64,16,10,5000,0.9040,original best 90.4 version
diagonal,diagonal,0.36,0.0001,,64,16,10,5000,0.9013,hard choice between upper/lower diagonal
parallel_ru,parallel_ru,0.50,0.0001,,64,16,10,5000,0.9067,simultaneous right and upper-right
parallel_rud,parallel_rud,0.50,0.0001,,64,16,10,5000,0.9020,simultaneous right upper-right lower-right
receiver_mix,receiver_mix,0.50,0.0001,,64,16,10,5000,0.9060,static receiver-side three-source fusion
inbound_5,inbound_5,0.50,,0.0001,64,16,10,5000,0.9005,five-source local reception
inbound_5_colmean,inbound_5_colmean,0.50,,0.0001,64,16,10,5000,0.9015,five-source plus fixed column mean
inbound_5_colattr,inbound_5_colattr,0.50,,0.0001,64,16,10,5000,0.8991,five-source plus learned column attributes
inbound_full,inbound_full,0.50,,0.0001,64,16,10,5000,0.8638,full-column attention overfits/unstable
energy_attention,energy_attention,0.50,,,64,16,10,5000,0.9010,content energy-only receiver scoring
inbound_kernel,inbound_kernel,0.50,,0.0001,64,16,10,5000,0.9038,unified local kernel for direction and strength
height128,diagonal,0.50,0.0001,,128,16,10,5000,0.8957,increased height diluted signal
mlp_relu64,,,,,64,,20,5000,0.9284,baseline upper reference
cnn,,,,,,,5,5000,0.9385,ordinary CNN reference
