model,strategy,intrinsic_ratio,alternating,seed,status,best_test_acc,final_test_acc,elapsed_seconds,intrinsic_delta,synaptic_delta,max_inactive_change,run_dir
bio_neuron,E0,0.1,5:1,0,complete,0.179,0.179,0.8874620999995386,0.012021064758300781,0.012027978897094727,,experiments\intrinsic_training\results_phase1_sanity\bio_neuron\bio_neuron__E0_joint__seed0__ep1__n512
bio_neuron,E1,0.1,5:1,0,complete,0.1794,0.1794,0.9750274999969406,0.0012023448944091797,0.012033998966217041,,experiments\intrinsic_training\results_phase1_sanity\bio_neuron\bio_neuron__E1_r0.1__seed0__ep1__n512
bio_neuron,E2,0.1,5:1,0,complete,0.1797,0.1797,0.8806343000032939,0.0,0.012034058570861816,0.0,experiments\intrinsic_training\results_phase1_sanity\bio_neuron\bio_neuron__E2_a5_1__seed0__ep1__n512
directional_rect_v4,E0,0.1,5:1,0,complete,0.1438,0.1438,0.9854247000039322,0.012007176876068115,0.01193052064627409,,experiments\intrinsic_training\results_phase1_sanity\directional_rect_v4\directional_rect_v4__E0_joint__seed0__ep1__n512
directional_rect_v4,E1,0.1,5:1,0,complete,0.1433,0.1433,0.9933745000016643,0.0012010037899017334,0.011930705048143864,,experiments\intrinsic_training\results_phase1_sanity\directional_rect_v4\directional_rect_v4__E1_r0.1__seed0__ep1__n512
directional_rect_v4,E2,0.1,5:1,0,complete,0.1429,0.1429,0.9631720999896061,0.0,0.011930699460208416,0.0,experiments\intrinsic_training\results_phase1_sanity\directional_rect_v4\directional_rect_v4__E2_a5_1__seed0__ep1__n512
discrete_nf_v3,E0,0.1,5:1,0,complete,0.1016,0.1016,1.4061942999978783,0.00399819016456604,0.004007607698440552,,experiments\intrinsic_training\results_phase1_sanity\discrete_nf_v3\discrete_nf_v3__E0_joint__seed0__ep1__n512
discrete_nf_v3,E1,0.1,5:1,0,complete,0.1014,0.1014,1.3634830999944825,0.0003998279571533203,0.004007592797279358,,experiments\intrinsic_training\results_phase1_sanity\discrete_nf_v3\discrete_nf_v3__E1_r0.1__seed0__ep1__n512
discrete_nf_v3,E2,0.1,5:1,0,complete,0.1013,0.1013,1.371619900004589,0.0,0.004007592797279358,0.0,experiments\intrinsic_training\results_phase1_sanity\discrete_nf_v3\discrete_nf_v3__E2_a5_1__seed0__ep1__n512
dynamic_nf,E0,0.1,5:1,0,complete,0.4369,0.4369,0.9112711000052514,0.010058879852294922,0.012027695775032043,,experiments\intrinsic_training\results_phase1_sanity\dynamic_nf\dynamic_nf__E0_joint__seed0__ep1__n512
dynamic_nf,E1,0.1,5:1,0,complete,0.4403,0.4403,0.9484240000019781,0.0010061264038085938,0.012027869001030922,,experiments\intrinsic_training\results_phase1_sanity\dynamic_nf\dynamic_nf__E1_r0.1__seed0__ep1__n512
dynamic_nf,E2,0.1,5:1,0,complete,0.4403,0.4403,0.9391231000045082,0.0,0.012027831748127937,0.0,experiments\intrinsic_training\results_phase1_sanity\dynamic_nf\dynamic_nf__E2_a5_1__seed0__ep1__n512
hierarchical_nf,E0,0.1,5:1,0,complete,0.693,0.693,1.001367200005916,0.009877443313598633,0.012030977755784988,,experiments\intrinsic_training\results_phase1_sanity\hierarchical_nf\hierarchical_nf__E0_joint__seed0__ep1__n512
