epoch,parameter,representation,mean,std,min,max
0,field.gain1_raw,raw,-2.1972246170043945,0.0,-2.1972246170043945,-2.1972246170043945
0,field.gain1_raw,effective,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612
0,field.gain12_raw,raw,-2.1972246170043945,0.0,-2.1972246170043945,-2.1972246170043945
0,field.gain12_raw,effective,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612
0,field.gain2_raw,raw,-2.1972246170043945,0.0,-2.1972246170043945,-2.1972246170043945
0,field.gain2_raw,effective,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612
0,field.bias1,raw,0.0,0.0,0.0,0.0
0,field.bias1,effective,0.0,0.0,0.0,0.0
0,field.bias2,raw,0.0,0.0,0.0,0.0
0,field.bias2,effective,0.0,0.0,0.0,0.0
1,field.gain1_raw,raw,-2.187347173690796,0.0,-2.187347173690796,-2.187347173690796
1,field.gain1_raw,effective,0.10089248418807983,0.0,0.10089248418807983,0.10089248418807983
1,field.gain12_raw,raw,-2.20574688911438,0.0,-2.20574688911438,-2.20574688911438
1,field.gain12_raw,effective,0.09923559427261353,0.0,0.09923559427261353,0.09923559427261353
1,field.gain2_raw,raw,-2.19126033782959,0.0,-2.19126033782959,-2.19126033782959
1,field.gain2_raw,effective,0.10053807497024536,0.0,0.10053807497024536,0.10053807497024536
1,field.bias1,raw,0.0005310326814651489,0.004247736185789108,-0.006365772802382708,0.007004716899245977
1,field.bias1,effective,0.0005310326814651489,0.004247736185789108,-0.006365772802382708,0.007004716899245977
1,field.bias2,raw,-0.00011034333147108555,0.004767007660120726,-0.006883514113724232,0.0054379357025027275
1,field.bias2,effective,-0.00011034333147108555,0.004767007660120726,-0.006883514113724232,0.0054379357025027275
